TOTAL_SECONDS,SNIPPETS,through_put_rows,through_put_size
1,1,1,12
1,1,0,0
0,1,0,0
6,17,151,47040
0,1,0,0
0,1,0,0
2,1,26941,4211066
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
1,2,66605,1864940
0,1,0,0
0,1,0,0
1,1,1,16
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
1,1,1,16
0,1,0,0
1,1,1,16
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,4,757,15140
0,1,0,0
0,1,0,0
0,2,0,0
1,1,1,12
0,1,0,0
0,1,0,0
0,1,0,0
1,1,3658,73160
1,1,1,88
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
3,6,20,7877
0,1,0,0
0,1,0,0
0,1,0,0
1,1,22028,895304
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,16
0,1,0,0
1,1,1,20
1,1,1,28
37,1,810666,29183979
4,5,16969,2375642
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,1,1,20
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
51,2,0,0
1,2,1,28
0,1,0,0
0,4,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
1,8,2,120
1,1,0,0
0,1,0,0
0,2,0,0
1,1,2073,41460
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
9,2,14430,29610816
11,2,12997,26670217
0,1,0,0
0,1,0,0
0,1,0,0
0,3,0,0
1,2,1,20
2,1,1,10
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,2,0,0
4,9,7823,423640
0,1,0,0
0,2,0,0
0,1,0,0
0,1,0,0
0,1,0,0
92,1,16011,7751577
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
5,8,11289,1558305
0,1,0,0
0,1,0,0
0,1,0,0
0,4,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
0,1,0,0
18,2,30666,62927316
1,2,0,0
0,1,0,0
0,1,0,0
1,1,1,12
0,1,0,0
0,1,0,0
0,1,0,0
35,17,371,115470
0,1,0,0
1,1,1,20
0,1,0,0
0,1,0,0
0,1,0,0
1,1,3641,101948
0,1,0,0
0,1,0,0
1,2,1,24
0,1,0,0
1,2,26,520
